rate,power
99.19,44.2696
99.45,45.1521
98.52,41.6610
98.53,41.6968
99.49,45.2153
98.46,41.3219
98.77,42.7182
99.52,45.4020
99.59,45.5111
99.80,46.2584
99.58,45.4954
99.28,44.5807
99.42,45.1032
99.50,45.3709
98.47,41.3594
98.85,43.0710
98.97,43.5117
99.67,45.7757
99.46,45.1680
99.08,43.9015
99.85,46.4141
99.89,46.5387
99.57,45.4799
98.96,43.4869
97.05,31.9106
97.25,33.5752
94.85,13.0024
99.77,46.0716
99.48,45.1996
99.18,44.2492
99.45,45.1521
98.08,39.2235
99.60,45.6668
99.11,44.1013
98.17,39.7640
99.65,45.7447
99.36,44.8625
98.61,42.0941
99.58,45.4954
98.86,43.0982
95.21,15.3339
99.85,46.4141
99.75,46.0405
98.38,40.8959
