rate,power
99.64,58.7694
99.52,58.3492
99.01,56.2132
98.52,53.5414
96.17,30.3519
99.56,58.4291
99.38,57.7001
99.49,58.1090
99.68,58.8493
98.91,55.7248
99.69,58.8694
98.32,52.2426
97.11,41.6692
99.78,59.2295
99.87,59.7299
99.85,59.6497
98.95,55.8558
96.80,38.1316
99.90,59.8298
98.63,54.1827
99.22,57.1451
99.67,58.8293
99.29,57.3176
98.91,55.7248
99.37,57.6781
99.78,59.2295
98.77,54.8997
98.57,53.7668
98.56,53.7224
99.07,56.3919
99.57,58.4491
98.79,54.9743
97.15,42.1003
98.69,54.4294
99.16,56.8146
97.11,41.6692
93.73,10.9792
94.24,12.9937
96.10,29.4864
